2025-10-29T11:14:23+01:00	feed_success_count	admin	1	supplier_catalog_feed products=0
2025-10-29T13:52:15+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T13:54:30+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T13:56:02+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:56:17+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:56:32+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:56:47+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:57:02+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:57:17+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:57:32+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:57:47+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:58:02+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:58:17+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:58:32+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:58:47+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:59:02+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:59:17+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:59:21+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:59:21+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T13:59:21+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:05+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:21+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:35+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:45+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:45+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:45+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:45+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:00:45+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:01:00+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:01:06+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:03:23+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:03:38+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:03:53+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:04:08+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:04:23+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:04:38+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:04:40+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:04:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:05:12+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:06:27+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:07:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:07:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:07:27+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:07:31+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:07:46+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:08:52+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:08:57+01:00	pos_products	role=staff	ordered_only=0	count=1
2025-10-29T14:24:13+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:24:28+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:24:43+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:24:58+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:25:13+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:25:28+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:25:43+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:25:58+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:26:13+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:26:28+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:26:43+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:26:58+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:27:13+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:36:59+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-29T14:51:59+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:52:14+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:52:29+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:52:44+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:15+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:20+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T14:59:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:00:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:00:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:00:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:00:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:01:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:01:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:01:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:01:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:02:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:02:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:02:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:02:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:03:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:03:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:03:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:03:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:04:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:04:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:04:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:04:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:05:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:05:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:05:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:05:56+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:06:11+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:06:26+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:06:41+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:06:53+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:06:54+01:00	pos_products	role=admin	ordered_only=0	count=2
2025-10-29T15:41:51+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:41:52+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:41:52+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:42+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:44+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:44+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:44+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:44+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:45:50+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:46:05+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:46:20+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:46:35+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:46:50+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:47:05+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:47:20+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:48:44+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:51:14+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T15:51:29+01:00	pos_products	role=admin	ordered_only=0	count=3
2025-10-29T16:09:39+01:00	pos_products	role=admin	ordered_only=0	count=3
{"ts":"2025-10-29T16:14:31+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
{"ts":"2025-10-29T16:17:45+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
{"ts":"2025-10-29T16:18:19+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
